정류소ID,모바일ID,정류소명,영문명,시_도,구_군,동,X좌표,Y좌표,경유노선수,경유노선
7051004300,768,룸비니유치원앞,Lumbini Kindergarten,대구광역시,남구,대명9동,12834.4488,3550.1167,3,"600, 750, 남구1-1"
7051004400,759,현충삼거리1,Hyeonchung (3) Junction,대구광역시,남구,대명9동,12834.7693,3550.0245,3,"300, 600, 750"
7051004500,760,대명중학교앞,Daemyeong Middle School,대구광역시,남구,대명9동,12834.7123,3549.9445,3,"410, 달서4, 달서4-1"
7051004600,761,대덕문화전당건너,Daeduk Culture Center,대구광역시,남구,대명9동,12834.5556,3549.9362,3,"410, 달서4, 달서4-1"
7051004700,762,대덕식당앞,Daedeok Restaurant,대구광역시,남구,대명9동,12834.4418,3549.8833,3,"410, 달서4, 달서4-1"
7051004800,775,앞산자락카페마실앞,Apsan Jarak Cafe Masil,대구광역시,남구,대명6동,12834.12984,3549.927286,2,"410-1, 달서4"
7051004900,781,대덕식당건너,Daedeok Restaurant,대구광역시,남구,대명6동,12834.4237,3549.8299,3,"410-1, 달서4, 달서4-1"
7051005000,4724,대명중학교건너,Daemyeong Middle School,대구광역시,남구,대명9동,12834.7596,3549.9465,3,"410-1, 달서4, 달서4-1"
7051005100,2293,남부도서관앞,Nambu Public Library,대구광역시,남구,대명9동,12834.8801,3549.9706,6,"300, 410-1, 600, 750, 달서4, 달서4-1"
7051005200,783,충혼탑앞,Chunghontap,대구광역시,남구,대명9동,12835.1089,3549.9847,6,"300, 410-1, 600, 750, 달서4, 달서4-1"
7051005300,753,충혼탑건너,Chunghontap,대구광역시,남구,대명9동,12835.0739,3549.9979,6,"300, 410, 600, 750, 달서4, 달서4-1"
7051005400,9257,대구차여성병원앞,Daegu CHA Woman's hospital,대구광역시,남구,대명1동,12834.51754,3550.409829,4,"503, 623, 서구1-1, 순환3"
7051005500,638,대구차여성병원건너,Daegu CHA Woman's hospital,대구광역시,남구,대명10동,12834.4474,3550.4414,4,"503, 623, 서구1, 순환3-1"
7051005600,9136,대명1동행정복지센터앞,Daemyung 1-dong Community Service Center,대구광역시,남구,대명1동,12834.36279,3550.514843,4,"503, 623, 서구1-1, 순환3"
7051005700,637,대명1동행정복지센터건너,Daemyung 1-dong Community Service Center,대구광역시,남구,대명10동,12834.30413,3550.537246,4,"503, 623, 서구1, 순환3-1"
7051005800,2558,대구가톨릭대학병원건너,Daegu Catholic University Medical Center,대구광역시,남구,대명4동,12834.1626,3550.6708,4,"503, 623, 서구1-1, 순환3"
7051005900,2559,대구가톨릭대학병원앞,Daegu Catholic University Medical Center,대구광역시,남구,대명4동,12834.1479,3550.6729,4,"503, 623, 서구1, 순환3-1"
7051006000,742,두리봉네거리2,Duribong Junction,대구광역시,남구,대명10동,12833.5282,3550.3528,6,"609, 618, 650, 706, 836, 남구1"
7051006100,2617,문화예술회관건너,Culture and Arts Center,대구광역시,남구,대명10동,12833.64,3550.5022,7,"609, 618, 650, 706, 805, 836, 남구1"
7051006200,5008,문화예술회관앞,Culture and Arts Center,대구광역시,달서구,성당1동,12833.6643,3550.5434,7,"609, 618, 650, 706, 805, 836, 남구1-1"
